楽器,計測,サンプル数,平均_us,平均_ms,標準偏差_us,標準偏差_ms,ばらつき判定,最小_us,最大_us,絶対最大_us,絶対最大_ms,最大判定,取りこぼし数,備考
clarinet,drift1,11,1193,1.19,82,0.08,🟢理想,1088,1381,1381,1.38,🟢理想,0,
clarinet,drift2,11,1104,1.10,104,0.10,🟢理想,875,1225,1225,1.23,🟢理想,0,
clarinet,drift3,11,1373,1.37,64,0.06,🟢理想,1282,1498,1498,1.50,🟢理想,0,
clarinet,drift4,11,1242,1.24,163,0.16,🟢理想,1022,1548,1548,1.55,🟢理想,0,
clarinet,drift5,11,1235,1.24,84,0.08,🟢理想,1105,1374,1374,1.37,🟢理想,0,
clarinet,drift_new,11,-376,-0.38,114,0.11,🟢理想,-633,-253,633,0.63,🟢理想,0,
drum,drift1,11,3739,3.74,55,0.06,🟢理想,3660,3822,3822,3.82,🟡許容,0,
drum,drift2,11,3737,3.74,134,0.13,🟢理想,3440,3880,3880,3.88,🟡許容,0,
drum,drift3,11,3704,3.70,134,0.13,🟢理想,3489,3875,3875,3.88,🟡許容,0,
drum,drift4,11,3714,3.71,140,0.14,🟢理想,3483,3996,3996,4.00,🟡許容,0,
drum,drift5,11,3801,3.80,106,0.11,🟢理想,3688,4017,4017,4.02,🟡許容,0,
drum,drift_new,11,230,0.23,388,0.39,🟢理想,-554,710,710,0.71,🟢理想,0,
flute,drift1,11,2937,2.94,74,0.07,🟢理想,2835,3079,3079,3.08,🟡許容,0,
flute,drift2,11,2719,2.72,91,0.09,🟢理想,2553,2870,2870,2.87,🟡許容,0,起動行(bar0=540026)除外/末尾切れ282→2829補正
flute,drift3,11,2745,2.75,82,0.08,🟢理想,2682,2910,2910,2.91,🟡許容,0,
flute,drift4,11,2950,2.95,76,0.08,🟢理想,2833,3085,3085,3.08,🟡許容,0,
flute,drift5,11,2848,2.85,71,0.07,🟢理想,2724,2990,2990,2.99,🟡許容,0,
flute,drift_new,11,-9,-0.01,61,0.06,🟢理想,-107,99,107,0.11,🟢理想,0,
organ,drift1,11,-1029,-1.03,92,0.09,🟢理想,-1191,-872,1191,1.19,🟢理想,0,
organ,drift2,11,-1186,-1.19,137,0.14,🟢理想,-1381,-899,1381,1.38,🟢理想,0,
organ,drift3,11,-1189,-1.19,48,0.05,🟢理想,-1274,-1129,1274,1.27,🟢理想,0,
organ,drift4,11,-1158,-1.16,113,0.11,🟢理想,-1299,-949,1299,1.30,🟢理想,0,
organ,drift5,11,-1267,-1.27,110,0.11,🟢理想,-1412,-1059,1412,1.41,🟢理想,0,
organ,drift_new,11,-188,-0.19,307,0.31,🟢理想,-682,308,682,0.68,🟢理想,0,
