bar,slot,addr,tx_us,skew_us,err
0,0,10,143,0,0
0,1,11,143,145,0
0,2,12,143,291,0
0,3,13,143,436,0
1,0,10,143,0,0
1,1,11,143,145,0
1,2,12,143,291,0
1,3,13,143,436,0
2,0,10,143,0,0
2,1,11,143,145,0
2,2,12,143,291,0
2,3,13,143,436,0
3,0,10,143,0,0
3,1,11,143,145,0
3,2,12,143,291,0
3,3,13,143,436,0
4,0,10,143,0,0
4,1,11,144,146,0
4,2,12,143,291,0
4,3,13,143,436,0
5,0,10,142,0,0
5,1,11,143,146,0
5,2,12,143,291,0
5,3,13,144,437,0
6,0,10,143,0,0
6,1,11,143,146,0
6,2,12,143,291,0
6,3,13,143,436,0
7,0,10,143,0,0
7,1,11,144,146,0
7,2,12,143,291,0
7,3,13,143,436,0
8,0,10,143,0,0
8,1,11,143,145,0
8,2,12,143,291,0
8,3,13,143,436,0
9,0,10,143,0,0
9,1,11,143,146,0
9,2,12,143,291,0
9,3,13,143,436,0
10,0,10,143,0,0
10,1,11,143,146,0
10,2,12,143,291,0
10,3,13,143,436,0
11,0,10,143,0,0
11,1,11,144,146,0
11,2,12,143,291,0
11,3,13,143,436,0
